id	rate
48257	2.732
40069	0.000
40129	81.750
40073	26.133
40081	5.158
40083	2.583
40085	6.920
40091	7.120
40095	5.752
48291	1.399
48099	1.611
48299	3.865
40109	2.410
48303	5.075
40115	4.663
40117	23.143
40119	5.654
40123	2.155
40071	3.563
40125	4.364
40127	0.000
40135	1.329
40137	7.194
40139	15.380
40141	4.753
34005	3.458
34013	2.375
34015	3.993
34017	6.495
34019	6.844
34021	3.873
34003	8.271
34001	4.240
34025	7.640
22055	1.934
34029	7.145
45051	2.907
17159	0.000
34033	4.976
48339	3.371
34037	8.221
34039	3.816
34041	3.920
40005	4.768
40149	17.052
21035	3.870
48189	3.807
40153	0.000
34011	2.686
40121	1.238
40143	3.362
12115	4.268
12093	1.547
55079	2.446
34007	3.852
28001	1.353
28003	2.794
28005	1.775
28007	1.544
28009	1.459
40145	3.124
34023	5.325
28013	2.681
28017	1.622
28019	2.039
28021	1.079
28023	1.869
28025	1.380
48329	3.712
22079	1.946
28029	1.409
28031	1.695
28035	1.776
28037	1.520
28039	2.360
28041	1.548
28043	1.353
28045	2.381
28047	2.033
28049	1.232
28051	1.134
28053	1.241
48025	0.000
28057	1.307
34009	4.789
28059	2.064
28061	1.385
28067	2.123
28069	1.406
28071	2.356
28073	2.278
28075	1.619
28077	1.840
28079	1.480
28081	2.392
28083	1.164
28085	1.832
48331	1.029
28087	1.816
28089	2.096
28093	1.701
28095	1.680
28097	1.706
28099	1.940
28101	1.855
28103	0.994
28105	2.438
28107	1.386
28109	2.118
28111	1.701
28113	1.373
28115	2.080
28117	2.161
28121	1.969
28123	1.514
28129	0.792
28131	2.254
28133	1.219
28135	1.608
28137	1.889
28139	2.229
28141	0.000
28143	1.272
28145	3.655
24001	2.478
28147	1.229
28149	1.227
28151	1.323
28153	1.626
28155	2.157
22015	2.120
22017	1.375
28163	1.393
48049	1.894
22057	3.349
40015	3.079
22059	1.611
22071	1.342
22073	1.426
48199	1.864
22077	1.867
20035	4.242
22093	1.462
45063	2.637
22117	1.408
18029	7.048
18039	3.297
20091	4.567
40087	5.354
48073	0.779
48135	0.657
47051	3.320
20169	5.810
20173	2.992
18131	8.870
40089	2.946
45007	1.495
12001	3.318
12003	1.110
12005	2.292
12007	1.308
12009	2.857
12011	2.081
12015	2.739
12017	3.046
12021	1.475
12023	2.081
12027	2.059
12033	2.205
12035	2.786
12039	1.475
12041	3.530
12043	1.850
12049	1.445
12051	2.561
12055	3.067
12057	2.490
40023	2.147
12059	2.179
12061	3.749
12063	0.970
12065	0.749
48091	2.596
12069	2.636
12071	3.700
12073	1.939
12075	3.070
12081	2.656
12083	2.286
12085	3.420
12087	2.371
12089	2.101
48003	0.000
55101	5.379
12095	1.885
12097	2.050
12099	2.262
12101	2.316
12103	3.047
45071	2.048
12105	1.714
12107	2.085
12109	4.846
12111	3.023
12113	2.174
12117	2.809
12119	2.345
12121	2.961
12123	0.667
12127	2.404
12131	1.147
48209	0.000
40027	3.706
28161	1.554
42005	6.867
47019	3.041
34027	10.566
17183	3.675
45003	1.859
47055	2.455
47059	0.000
48213	0.494
47081	3.370
17063	7.271
45041	1.653
45045	1.280
17185	249.870
